Market Cap,Change,Market Cap Numeric,PE ratio,Percent Change,Price
45.797B,0.01,45797000000,11.01,0.078988942,12.67
45.797B,0.01,45797000000,11.01,0.078988942,12.67
45.797B,0.01,45797000000,11.01,0.078988942,12.67
45.797B,0.01,45797000000,11.01,0.078988942,12.67
45.797B,0.01,45797000000,11.01,0.078988942,12.67
45.815B,0.01,45815000000,11.02,0.079051383,12.66
45.815B,0.01,45815000000,11.02,0.078988942,12.67
60.606B,0.04,60606000000,41.8,0.036965160,108.25
60.606B,0.04,60606000000,41.8,0.036965160,108.25
60.628B,0.04,60628000000,41.81,0.036965160,108.25
60.622B,0.07,60622000000,41.81,0.064689031,108.28
60.634B,0.09,60634000000,41.81,0.083171611,108.3
60.634B,0.09,60634000000,41.81,0.083171611,108.3
60.622B,0.1,60622000000,41.81,0.092412901,108.31
60.645B,0.11,60645000000,41.82,0.101654191,108.32
60.667B,0.15,60667000000,41.84,0.138619351,108.36
60.667B,0.15,60667000000,41.84,0.138619351,108.36
53.016B,-0.04,53016000000,9.02,-0.733944954,5.41
53.065B,-0.03,53065000000,9.02,-0.551470588,5.41
53.065B,-0.03,53065000000,9.02,-0.551470588,5.41
53.065B,-0.03,53065000000,9.02,-0.551470588,5.41
53.016B,-0.03,53016000000,9.02,-0.550458716,5.42
53.106B,-0.03,53106000000,9.03,-0.550458716,5.42
53.106B,-0.03,53106000000,9.03,-0.550458716,5.42
53.106B,-0.03,53106000000,9.03,-0.550458716,5.42
53.106B,-0.03,53106000000,9.03,-0.550458716,5.42
53.106B,-0.03,53106000000,9.03,-0.550458716,5.42
54.676B,-0.29,54676000000,,-0.596585065,48.32
54.676B,-0.29,54676000000,,-0.596585065,48.32
54.709B,-0.29,54709000000,,-0.596585065,48.32
54.676B,-0.28,54676000000,,-0.576013166,48.33
54.692B,-0.28,54692000000,,-0.576013166,48.33
54.721B,-0.25,54721000000,,-0.514297470,48.36
54.721B,-0.25,54721000000,,-0.514297470,48.36
54.721B,-0.24,54721000000,,-0.493725571,48.37
54.738B,-0.24,54738000000,,-0.493725571,48.37
54.709B,-0.24,54709000000,,-0.493624023,48.38
42.691B,0.22,42691000000,2.82,1.011029412,21.98
42.691B,0.22,42691000000,2.82,1.011029412,21.98
42.691B,0.22,42691000000,2.82,1.011029412,21.98
42.184B,0.04,42184000000,3.05,0.168421053,23.79
42.184B,0.04,42184000000,3.05,0.168421053,23.79
77.987B,-0.02,77987000000,26.71,-0.311041991,6.41
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
78.103B,-0.01,78103000000,26.75,-0.155520995,6.42
78.103B,-0.01,78103000000,26.75,-0.155520995,6.42
56.995B,0.02,56995000000,41.47,0.006473539,308.97
57.001B,0.02,57001000000,41.48,0.006473539,308.97
57.001B,0.05,57001000000,41.48,0.016183849,309
57.001B,0.05,57001000000,41.48,0.016183849,309
57.001B,0.05,57001000000,41.48,0.016183849,309
57.001B,0.05,57001000000,41.48,0.016183849,309
57.001B,0.05,57001000000,41.48,0.016183849,309
57.008B,0.05,57008000000,41.48,0.016183849,309
56.995B,0.16,56995000000,41.47,0.051788315,309.11
57.021B,0.16,57021000000,41.49,0.051788315,309.11
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
71.94B,0.21,71940000000,2.6,1.038575668,20.43
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
64.869B,0,64869000000,3.19,0,25.08
64.869B,0,64869000000,3.19,0,25.08
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
72.283B,-2.22,72283000000,35.2,-3.459021502,61.96
72.289B,-2.22,72289000000,35.2,-3.459021502,61.96
72.295B,-2.22,72295000000,35.21,-3.458482630,61.97
72.3B,-2.21,72300000000,35.21,-3.443440324,61.97
72.3B,-2.21,72300000000,35.21,-3.443440324,61.97
72.4B,-2.16,72400000000,35.26,-3.365534434,62.02
72.44B,-2.1,72440000000,35.28,-3.272047367,62.08
72.452B,-2.08,72452000000,35.28,-3.240885011,62.1
72.47B,-2.06,72470000000,35.29,-3.209722655,62.12
56.59B,-0.02,56590000000,9.12,-0.237812128,8.39
56.617B,-0.02,56617000000,9.13,-0.237812128,8.39
56.59B,-0.01,56590000000,9.12,-0.118906064,8.4
56.617B,-0.01,56617000000,9.13,-0.118906064,8.4
56.617B,-0.01,56617000000,9.13,-0.118906064,8.4
56.617B,-0.01,56617000000,9.13,-0.118906064,8.4
56.617B,-0.01,56617000000,9.13,-0.118906064,8.4
56.617B,-0.01,56617000000,9.13,-0.118906064,8.4
56.642B,-0.01,56642000000,9.13,-0.118906064,8.4
56.642B,-0.01,56642000000,9.13,-0.118906064,8.4
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.438B,-0.36,58438000000,9.07,-0.729631131,48.98
58.486B,-0.35,58486000000,9.08,-0.709363600,48.99
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
50.392B,0.17,50392000000,9,0.686591276,24.93
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.102B,0.14,73102000000,0.4,0.684261975,20.6
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
73.137B,0.15,73137000000,0.4,0.733137830,20.61
45.509B,-1.61,45509000000,7.69,-1.428571429,111.09
45.517B,-1.61,45517000000,7.69,-1.428571429,111.09
45.517B,-1.6,45517000000,7.69,-1.419698314,111.1
45.538B,-1.56,45538000000,7.7,-1.384205856,111.14
45.542B,-1.56,45542000000,7.7,-1.384205856,111.14
45.538B,-1.52,45538000000,7.7,-1.348713398,111.18
79.233B,0.1,79233000000,95.06,0.074660296,134.04
79.233B,0.1,79233000000,95.06,0.074660296,134.04
79.251B,0.13,79251000000,95.09,0.097058384,134.07
42.24B,-0.97,42240000000,15.5,-0.530605547,181.84
45.41B,0.16,45410000000,7.93,0.553250346,29.08
45.394B,0.19,45394000000,7.92,0.656984786,29.11
45.449B,0.2,45449000000,7.93,0.691562932,29.12
45.472B,0.21,45472000000,7.94,0.726141079,29.13
45.472B,0.21,45472000000,7.94,0.726141079,29.13
45.48B,0.21,45480000000,7.94,0.726141079,29.13
45.496B,0.24,45496000000,7.94,0.829875519,29.16
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
69.93B,0.07,69930000000,4.81,0.315031503,22.29
59.515B,-0.04,59515000000,9.87,-0.208441897,19.15
59.515B,-0.04,59515000000,9.87,-0.208441897,19.15
59.524B,-0.04,59524000000,9.87,-0.208441897,19.15
59.524B,-0.04,59524000000,9.87,-0.208441897,19.15
59.524B,-0.03,59524000000,9.87,-0.156331423,19.16
59.529B,-0.03,59529000000,9.87,-0.156331423,19.16
59.529B,-0.03,59529000000,9.87,-0.156331423,19.16
59.529B,-0.03,59529000000,9.87,-0.156331423,19.16
59.529B,-0.03,59529000000,9.87,-0.156331423,19.16
59.529B,-0.03,59529000000,9.87,-0.156331423,19.16
